,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,references,comments,organization,creation_date,last_update
72,nist_800_53,rev5,,,,non_mappable,T1583.008,Malvertising,14.1,enterprise,[],,,01/13/2022,01/13/2022
73,nist_800_53,rev5,,,,non_mappable,T1583.007,Serverless,14.1,enterprise,[],,,01/13/2022,01/13/2022
74,nist_800_53,rev5,,,,non_mappable,T1583.006,Web Services,14.1,enterprise,[],,,01/13/2022,01/13/2022
75,nist_800_53,rev5,,,,non_mappable,T1583.005,Botnet,14.1,enterprise,[],,,01/13/2022,01/13/2022
76,nist_800_53,rev5,,,,non_mappable,T1583.004,Server,14.1,enterprise,[],,,01/13/2022,01/13/2022
77,nist_800_53,rev5,,,,non_mappable,T1583.003,Virtual Private Server,14.1,enterprise,[],,,01/13/2022,01/13/2022
78,nist_800_53,rev5,,,,non_mappable,T1583.002,DNS Server,14.1,enterprise,[],,,01/13/2022,01/13/2022
79,nist_800_53,rev5,,,,non_mappable,T1583.001,Domains,14.1,enterprise,[],,,01/13/2022,01/13/2022
80,nist_800_53,rev5,,,,non_mappable,T1583,Acquire Infrastructure,14.1,enterprise,[],,,01/13/2022,01/13/2022
81,nist_800_53,rev5,,,,non_mappable,T1650,Acquire Access,14.1,enterprise,[],,,01/13/2022,01/13/2022
82,nist_800_53,rev5,,,,non_mappable,T1656,Impersonation,14.1,enterprise,[],,,01/13/2022,01/13/2022
83,nist_800_53,rev5,,,,non_mappable,T1566.004,Spearphishing Voice,14.1,enterprise,[],,,01/13/2022,01/13/2022
84,nist_800_53,rev5,,,,non_mappable,T1598.004,Spearphishing Voice,14.1,enterprise,[],,,01/13/2022,01/13/2022
85,nist_800_53,rev5,,,,non_mappable,T1036.009,Break Process Trees,14.1,enterprise,[],,,01/13/2022,01/13/2022
86,nist_800_53,rev5,,,,non_mappable,T1016.002,Wi-Fi Discovery,14.1,enterprise,[],,,01/13/2022,01/13/2022
87,nist_800_53,rev5,,,,non_mappable,T1652,Device Driver Discovery,14.1,enterprise,[],,,01/13/2022,01/13/2022
88,nist_800_53,rev5,,,,non_mappable,T1564.011,Ignore Process Interrupts,14.1,enterprise,[],,,01/13/2022,01/13/2022
89,nist_800_53,rev5,Access Control,AC-04,Information Flow Enforcement,Protects,T1001,Data Obfuscation,14.1,enterprise,[],,,01/13/2022,01/13/2022
90,nist_800_53,rev5,Security Assessment and Authorization,CA-07,Continuous Monitoring,Protects,T1001,Data Obfuscation,14.1,enterprise,[],,,01/13/2022,01/13/2022
91,nist_800_53,rev5,Configuration Management,CM-02,Baseline Configuration,Protects,T1001,Data Obfuscation,14.1,enterprise,[],,,01/13/2022,01/13/2022
92,nist_800_53,rev5,Configuration Management,CM-06,Configuration Settings,Protects,T1001,Data Obfuscation,14.1,enterprise,[],,,01/13/2022,01/13/2022
93,nist_800_53,rev5,System and Communications Protection,SC-07,Boundary Protection,Protects,T1001,Data Obfuscation,14.1,enterprise,[],,,01/13/2022,01/13/2022
94,nist_800_53,rev5,System and Information Integrity,SI-03,Malicious Code Protection,Protects,T1001,Data Obfuscation,14.1,enterprise,[],,,01/13/2022,01/13/2022
95,nist_800_53,rev5,System and Information Integrity,SI-04,System Monitoring,Protects,T1001,Data Obfuscation,14.1,enterprise,[],,,01/13/2022,01/13/2022
96,nist_800_53,rev5,Access Control,AC-04,Information Flow Enforcement,Protects,T1001.001,Junk Data,14.1,enterprise,[],,,01/13/2022,01/13/2022
97,nist_800_53,rev5,Security Assessment and Authorization,CA-07,Continuous Monitoring,Protects,T1001.001,Junk Data,14.1,enterprise,[],,,01/13/2022,01/13/2022
98,nist_800_53,rev5,Configuration Management,CM-02,Baseline Configuration,Protects,T1001.001,Junk Data,14.1,enterprise,[],,,01/13/2022,01/13/2022
99,nist_800_53,rev5,Configuration Management,CM-06,Configuration Settings,Protects,T1001.001,Junk Data,14.1,enterprise,[],,,01/13/2022,01/13/2022
100,nist_800_53,rev5,System and Communications Protection,SC-07,Boundary Protection,Protects,T1001.001,Junk Data,14.1,enterprise,[],,,01/13/2022,01/13/2022
101,nist_800_53,rev5,System and Information Integrity,SI-03,Malicious Code Protection,Protects,T1001.001,Junk Data,14.1,enterprise,[],,,01/13/2022,01/13/2022
102,nist_800_53,rev5,System and Information Integrity,SI-04,System Monitoring,Protects,T1001.001,Junk Data,14.1,enterprise,[],,,01/13/2022,01/13/2022
103,nist_800_53,rev5,Access Control,AC-04,Information Flow Enforcement,Protects,T1001.002,Steganography,14.1,enterprise,[],,,01/13/2022,01/13/2022
104,nist_800_53,rev5,Security Assessment and Authorization,CA-07,Continuous Monitoring,Protects,T1001.002,Steganography,14.1,enterprise,[],,,01/13/2022,01/13/2022
105,nist_800_53,rev5,Configuration Management,CM-02,Baseline Configuration,Protects,T1001.002,Steganography,14.1,enterprise,[],,,01/13/2022,01/13/2022
106,nist_800_53,rev5,Configuration Management,CM-06,Configuration Settings,Protects,T1001.002,Steganography,14.1,enterprise,[],,,01/13/2022,01/13/2022
107,nist_800_53,rev5,System and Communications Protection,SC-07,Boundary Protection,Protects,T1001.002,Steganography,14.1,enterprise,[],,,01/13/2022,01/13/2022
108,nist_800_53,rev5,System and Information Integrity,SI-03,Malicious Code Protection,Protects,T1001.002,Steganography,14.1,enterprise,[],,,01/13/2022,01/13/2022
109,nist_800_53,rev5,System and Information Integrity,SI-04,System Monitoring,Protects,T1001.002,Steganography,14.1,enterprise,[],,,01/13/2022,01/13/2022
110,nist_800_53,rev5,Access Control,AC-04,Information Flow Enforcement,Protects,T1001.003,Protocol Impersonation,14.1,enterprise,[],,,01/13/2022,01/13/2022
111,nist_800_53,rev5,Security Assessment and Authorization,CA-07,Continuous Monitoring,Protects,T1001.003,Protocol Impersonation,14.1,enterprise,[],,,01/13/2022,01/13/2022
112,nist_800_53,rev5,Configuration Management,CM-02,Baseline Configuration,Protects,T1001.003,Protocol Impersonation,14.1,enterprise,[],,,01/13/2022,01/13/2022
113,nist_800_53,rev5,Configuration Management,CM-06,Configuration Settings,Protects,T1001.003,Protocol Impersonation,14.1,enterprise,[],,,01/13/2022,01/13/2022
114,nist_800_53,rev5,System and Communications Protection,SC-07,Boundary Protection,Protects,T1001.003,Protocol Impersonation,14.1,enterprise,[],,,01/13/2022,01/13/2022
115,nist_800_53,rev5,System and Information Integrity,SI-03,Malicious Code Protection,Protects,T1001.003,Protocol Impersonation,14.1,enterprise,[],,,01/13/2022,01/13/2022
116,nist_800_53,rev5,System and Information Integrity,SI-04,System Monitoring,Protects,T1001.003,Protocol Impersonation,14.1,enterprise,[],,,01/13/2022,01/13/2022
117,nist_800_53,rev5,Access Control,AC-16,Security and Privacy Attributes,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
118,nist_800_53,rev5,Access Control,AC-02,Account Management,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
119,nist_800_53,rev5,Access Control,AC-03,Access Enforcement,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
120,nist_800_53,rev5,Access Control,AC-04,Information Flow Enforcement,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
121,nist_800_53,rev5,Access Control,AC-05,Separation of Duties,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
122,nist_800_53,rev5,Access Control,AC-06,Least Privilege,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
123,nist_800_53,rev5,Security Assessment and Authorization,CA-07,Continuous Monitoring,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
124,nist_800_53,rev5,Configuration Management,CM-02,Baseline Configuration,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
125,nist_800_53,rev5,Configuration Management,CM-05,Access Restrictions for Change,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
126,nist_800_53,rev5,Configuration Management,CM-06,Configuration Settings,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
127,nist_800_53,rev5,Configuration Management,CM-07,Least Functionality,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
128,nist_800_53,rev5,Contingency Planning,CP-09,System Backup,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
129,nist_800_53,rev5,Identification and Authentication,IA-02,Identification and Authentication (organizational Users),Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
130,nist_800_53,rev5,Identification and Authentication,IA-04,Identifier Management,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
131,nist_800_53,rev5,Identification and Authentication,IA-05,Authenticator Management,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
132,nist_800_53,rev5,System and Communications Protection,SC-28,Protection of Information at Rest,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
133,nist_800_53,rev5,System and Communications Protection,SC-39,Process Isolation,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
134,nist_800_53,rev5,System and Information Integrity,SI-12,Information Management and Retention,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
135,nist_800_53,rev5,System and Information Integrity,SI-02,Flaw Remediation,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
136,nist_800_53,rev5,System and Information Integrity,SI-03,Malicious Code Protection,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
137,nist_800_53,rev5,System and Information Integrity,SI-04,System Monitoring,Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
138,nist_800_53,rev5,System and Information Integrity,SI-07,"Software, Firmware, and Information Integrity",Protects,T1003,OS Credential Dumping,14.1,enterprise,[],,,01/13/2022,01/13/2022
139,nist_800_53,rev5,Access Control,AC-16,Security and Privacy Attributes,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
140,nist_800_53,rev5,Access Control,AC-02,Account Management,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
141,nist_800_53,rev5,Access Control,AC-03,Access Enforcement,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
142,nist_800_53,rev5,Access Control,AC-05,Separation of Duties,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
143,nist_800_53,rev5,Access Control,AC-06,Least Privilege,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
144,nist_800_53,rev5,Security Assessment and Authorization,CA-07,Continuous Monitoring,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
145,nist_800_53,rev5,Configuration Management,CM-02,Baseline Configuration,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
146,nist_800_53,rev5,Configuration Management,CM-05,Access Restrictions for Change,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
147,nist_800_53,rev5,Configuration Management,CM-06,Configuration Settings,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
148,nist_800_53,rev5,Contingency Planning,CP-09,System Backup,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
149,nist_800_53,rev5,Identification and Authentication,IA-02,Identification and Authentication (organizational Users),Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
150,nist_800_53,rev5,Identification and Authentication,IA-05,Authenticator Management,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
151,nist_800_53,rev5,System and Communications Protection,SC-28,Protection of Information at Rest,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
152,nist_800_53,rev5,System and Communications Protection,SC-39,Process Isolation,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
153,nist_800_53,rev5,System and Information Integrity,SI-12,Information Management and Retention,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
154,nist_800_53,rev5,System and Information Integrity,SI-03,Malicious Code Protection,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
155,nist_800_53,rev5,System and Information Integrity,SI-04,System Monitoring,Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
156,nist_800_53,rev5,System and Information Integrity,SI-07,"Software, Firmware, and Information Integrity",Protects,T1003.003,NTDS,14.1,enterprise,[],,,01/13/2022,01/13/2022
157,nist_800_53,rev5,Access Control,AC-02,Account Management,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
158,nist_800_53,rev5,Access Control,AC-03,Access Enforcement,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
159,nist_800_53,rev5,Access Control,AC-05,Separation of Duties,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
160,nist_800_53,rev5,Access Control,AC-06,Least Privilege,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
161,nist_800_53,rev5,Security Assessment and Authorization,CA-07,Continuous Monitoring,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
162,nist_800_53,rev5,Configuration Management,CM-02,Baseline Configuration,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
163,nist_800_53,rev5,Configuration Management,CM-05,Access Restrictions for Change,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
164,nist_800_53,rev5,Configuration Management,CM-06,Configuration Settings,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
165,nist_800_53,rev5,Identification and Authentication,IA-02,Identification and Authentication (organizational Users),Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
166,nist_800_53,rev5,Identification and Authentication,IA-05,Authenticator Management,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
167,nist_800_53,rev5,System and Communications Protection,SC-28,Protection of Information at Rest,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
168,nist_800_53,rev5,System and Communications Protection,SC-39,Process Isolation,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
169,nist_800_53,rev5,System and Information Integrity,SI-03,Malicious Code Protection,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
170,nist_800_53,rev5,System and Information Integrity,SI-04,System Monitoring,Protects,T1003.004,LSA Secrets,14.1,enterprise,[],,,01/13/2022,01/13/2022
171,nist_800_53,rev5,Access Control,AC-02,Account Management,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
172,nist_800_53,rev5,Access Control,AC-03,Access Enforcement,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
173,nist_800_53,rev5,Access Control,AC-04,Information Flow Enforcement,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
174,nist_800_53,rev5,Access Control,AC-05,Separation of Duties,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
175,nist_800_53,rev5,Access Control,AC-06,Least Privilege,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
176,nist_800_53,rev5,Security Assessment and Authorization,CA-07,Continuous Monitoring,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
177,nist_800_53,rev5,Configuration Management,CM-02,Baseline Configuration,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
178,nist_800_53,rev5,Configuration Management,CM-05,Access Restrictions for Change,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
179,nist_800_53,rev5,Configuration Management,CM-06,Configuration Settings,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
180,nist_800_53,rev5,Configuration Management,CM-07,Least Functionality,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
181,nist_800_53,rev5,Identification and Authentication,IA-02,Identification and Authentication (organizational Users),Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
182,nist_800_53,rev5,Identification and Authentication,IA-04,Identifier Management,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
183,nist_800_53,rev5,Identification and Authentication,IA-05,Authenticator Management,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
184,nist_800_53,rev5,System and Communications Protection,SC-28,Protection of Information at Rest,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
185,nist_800_53,rev5,System and Communications Protection,SC-39,Process Isolation,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
186,nist_800_53,rev5,System and Information Integrity,SI-03,Malicious Code Protection,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
187,nist_800_53,rev5,System and Information Integrity,SI-04,System Monitoring,Protects,T1003.005,Cached Domain Credentials,14.1,enterprise,[],,,01/13/2022,01/13/2022
188,nist_800_53,rev5,Access Control,AC-02,Account Management,Protects,T1003.006,DCSync,14.1,enterprise,[],,,01/13/2022,01/13/2022
189,nist_800_53,rev5,Access Control,AC-03,Access Enforcement,Protects,T1003.006,DCSync,14.1,enterprise,[],,,01/13/2022,01/13/2022
190,nist_800_53,rev5,Access Control,AC-04,Information Flow Enforcement,Protects,T1003.006,DCSync,14.1,enterprise,[],,,01/13/2022,01/13/2022
191,nist_800_53,rev5,Access Control,AC-05,Separation of Duties,Protects,T1003.006,DCSync,14.1,enterprise,[],,,01/13/2022,01/13/2022
192,nist_800_53,rev5,Access Control,AC-06,Least Privilege,Protects,T1003.006,DCSync,14.1,enterprise,[],,,01/13/2022,01/13/2022
